3	Zawór czerpalny 3/4  cala z nakrętką  Fi/61mm	33	23.58	10	t	21.jpg	<p>Korek plastikowy 2” (cale) 60mm z zaworem czerpalnym 3/4’’</p>\r\n\r\n<ul>\r\n\t<li>Produkt NOWY</li>\r\n\t<li>Nakrętka Plastikowa (NOWA) z grubym gwintem 2”cale „DIN61” pasujący do większości kanistrów 20L 25L 30L 60L oraz Zbiorników IBC (Mauser) 600L 800L 1000L</li>\r\n\t<li>Zawór plastikowy (zawór czerpalny) 3/4’’ cala z dławicą o dużym przepływie.</li>\r\n</ul>\r\n\r\n<p><b>Właściwości:</b></p>\r\n\r\n<p>Średnica korka: 6cm (2 cale)</p>\r\n\r\n<p>Średnica wewnętrzna przepływu cieczy : 18mm</p>\r\n\r\n<p>Średnica pod wąż min:  21mm</p>\r\n\r\n<p>Średnica pod wąż max:  25mm</p>\r\n\r\n<p>Zawór: 3/4’’ cala<br />\r\n<br />\r\nStosowany jest w zbiornikach ogrodowych, gospodarczych, przemysłowych oraz w systemach nawadniania.</p>	\N	\N	2026-04-29 18:02:41	125	f	zawor-czerpalny-34-cala-z-nakretka-fi61mm-3	1412	\N	\N	\N	\N	\N
15	Kanister na wodę z kranem 5L - UMYWALKA	17SR/0023	25.04	20	t	77.jpg	<p><b>Kanister na wodę 5L z kranem - NOWY!</b></p>\r\n\r\n<p>&#10004;️ Nowy, wysokiej jakości kanister do przechowywania wody i innych cieczy</p>\r\n\r\n<p>&#10004;️ Wyposażony w praktyczny kranik z zaworem kulowym</p>\r\n\r\n<p>&#10004;️ Posiada wygodny uchwyt ułatwiający przenoszenie</p>\r\n\r\n<p>&#10004;️Doskonały na działkę, w podróży, pod namiotem i wszędzie tam, gdzie brakuje dostępu do bieżącej wody<br />\r\n<br />\r\n </p>\r\n\r\n<p>Właściwości:</p>\r\n\r\n<p>Szerokość: 14cm</p>\r\n\r\n<p>Wysokość: 26cm</p>\r\n\r\n<p>Głębokość: 18,5cm</p>\r\n\r\n<p>Głębokość kanistra z kranem: 26cm</p>\r\n\r\n<p>Materiał: Polietylen</p>	\N	\N	2026-04-29 18:02:41	80	f	kanister-na-wode-z-kranem-5l-umywalka-15	1426	\N	\N	\N	\N	\N
2	Zawór czerpalny 1 cal z nakrętką Fi/61 mm, dławica kątowa1 cal	22	32.52	10	t	zz.jpg	<h2>Kran kulowy plastikowy z korkiem 61mm</h2>\r\n\r\n<ul>\r\n\t<li>Produkt NOWY</li>\r\n\t<li>Korek plastikowy (NOWY) z grubym gwintem trapezowym 2”cale 61mm (S60x6) pasujący do większości kanistrów 20L 25L 30L 60L oraz Zbiorników IBC (Mauser) 600L 1000L</li>\r\n\t<li>Zawór plastikowy kulowy (zawór czerpalny) 1 cal z dławicą o dużym przepływie.</li>\r\n</ul>\r\n\r\n<h2>Właściwości:</h2>\r\n\r\n<p>Średnica dławicy wylotu cieczy w środku: 2,3 cm</p>\r\n\r\n<p>Długość zaworu z korkiem: 17cm</p>\r\n\r\n<p>Średnica korka (mierzona razem z gwintem): 6,1cm (2 cale)<br />\r\n<br />\r\nStosowany jest w zbiornikach ogrodowych, gospodarczych, przemysłowych oraz w systemach nawadniania.</p>	\N	\N	2026-04-29 18:02:41	124	f	zawor-czerpalny-1-cal-z-nakretka-fi61-mm-dlawica-katowa1-cal-2	1411	\N	\N	\N	\N	\N
4	Zawór czerpalny 3/4 cala z korkiem do beczki Fi/56	44	26.83	10	t	26.jpg	<p>Korek plastikowy 2” (cale) 51mm z zaworem czerpalnym 3/4’’</p>\r\n\r\n<ul>\r\n\t<li>Produkt NOWY</li>\r\n\t<li>Korek plastikowy (NOWY) z grubym gwintem 2” (cale) 56mm z uszczelką z wmontowanym kranem 3/4’’cala.</li>\r\n\t<li>Pasuje do beczek: 60L 100L 120L 200L 220L</li>\r\n</ul>\r\n\r\n<p><b>Właściwości:</b></p>\r\n\r\n<p>Średnica zewnętrzna korka z gwintem: 56mm (2” cale)</p>\r\n\r\n<p>Wysokość korka: 25mm</p>\r\n\r\n<p>Średnica wewnętrzna przepływu cieczy : 18mm</p>\r\n\r\n<p>Średnica pod wąż min:  21mm</p>\r\n\r\n<p>Średnica pod wąż max:  25mm</p>\r\n\r\n<p>Zawór: 3/4’’ cala<br />\r\n<br />\r\nStosowany jest w zbiornikach ogrodowych, gospodarczych, przemysłowych oraz w systemach nawadniania</p>	\N	\N	2026-04-29 18:02:41	125	f	zawor-czerpalny-34-cala-z-korkiem-do-beczki-fi56-4	1413	\N	\N	\N	\N	\N
36	Metalowy Kran 3/4 cala + nakrętka DIN 61	4012	19.11	89886	t	203.jpg	<h1>Metalowy Kran 3/4 cala + nakrętka DIN 61</h1>\r\n\r\n<p>Nakrętka Plastikowa z Kranem metalowym 3/4”(cala)</p>\r\n\r\n<p>&#10004; Produkt NOWY</p>\r\n\r\n<p>&#10004; Korek plastikowy (NOWY) z grubym gwintem DIN61 pasujący do większości kanistrów 20L 25L 30L 60L oraz Zbiorników IBC (Mauser) 600L 1000L</p>\r\n\r\n<p>&#10004; Zawór metalowy (zawór czerpalny) 3/4” ( cala)</p>\r\n\r\n<p>Właściwości:</p>\r\n\r\n<p>Średnica korka: 6cm (2 cale)</p>\r\n\r\n<p>Zawór metalowy: 3/4” cala</p>	\N	\N	2026-04-29 18:02:41	121	f	metalowy-kran-34-cala-nakretka-din-61-36	1449	\N	\N	\N	\N	\N
11	Rozdzielacz z zaworem odcinającym	11BR/0051	26.83	9997	t	52.jpg	<p><b>Rozdzielacz z zaworem odcinającym do szybkozłącza ogrodowego + nakrętka</b></p>\r\n\r\n<p>&#10004;️ Plastikowy korek z grubym gwintem 10 cm („DIN100”), kompatybilny ze zbiornikami IBC (Mauser) 600L i 1000L</p>\r\n\r\n<p>&#10004;️ Przyłącze umożliwia podłączenie węża ogrodowego o średnicy 3/4" lub 1/2" (wymagane szybkozłącze na wężu)</p>\r\n\r\n<p>&#10004;️ Końcówka z motylkiem do odcinania przepływu cieczy<br />\r\n<br />\r\n </p>\r\n\r\n<p>Stan: Nowy</p>\r\n\r\n<p>Właściwości złączki: Złączka z zaworkiem o wylocie  : 1 x  0,9mm<br />\r\n<br />\r\nWłaściwości nakrętki:</p>\r\n\r\n<p>Średnica korka z gwintem : 9,8cm</p>\r\n\r\n<p>Średnica korka do gwintu : 9,5cm</p>\r\n\r\n<p>Wysokość całej nakrętki : 3,8cm</p>\r\n\r\n<p>Wysokość nakrętki w środku do uszczelki : 3,1cm<br />\r\n<br />\r\nStosowany jest w ogrodach, instalacjach nawadniających, gospodarstwach domowych i przemysłowych.</p>	\N	\N	2026-04-29 18:02:41	120	f	rozdzielacz-z-zaworem-odcinajacym-11	1420	\N	\N	\N	\N	\N
10	Rozdzielacz do wody z dwoma zaworami	10BR/0003	26.83	9997	t	48.jpg	<p><b>Rozdzielacz z dwoma zaworami – NOWY</b></p>\r\n\r\n<p>Plastikowy korek z grubym gwintem DIN61 (6 cm), pasujący do większości kanistrów o pojemnościach 20L, 25L, 30L, 60L oraz zbiorników IBC (Mauser) 600L i 1000L.<br />\r\n </p>\r\n\r\n<p><b>Cechy produktu:</b></p>\r\n\r\n<p>&#9989; Nowy, wytrzymały korek</p>\r\n\r\n<p>&#9989; Rozdzielacz z dwoma wyjściami kompatybilnymi z większością węży ogrodowych</p>\r\n\r\n<p>&#9989; Dwa niezależne zawory umożliwiające kontrolę przepływu cieczy</p>\r\n\r\n<p><b>Specyfikacja</b>:</p>\r\n\r\n<p>&#9989; Średnica korka: 6 cm (2 cale)</p>\r\n\r\n<p>&#9989; Przepływ: 2 × 0,8 mm<br />\r\n<br />\r\n </p>\r\n\r\n<p>Rozdzielacz do wody z dwoma zaworami służy do podziału jednego źródła wody na dwa niezależne wyjścia. Umożliwia jednoczesne podłączenie dwóch węży, urządzeń lub linii nawadniających oraz osobne regulowanie przepływu w każdym z nich.</p>\r\n\r\n<p>Stosowany jest w ogrodach, na działkach, w gospodarstwach domowych i rolnych, a także w instalacjach technicznych. Ułatwia podlewanie różnych stref ogrodu, napełnianie pojemników oraz podłączanie systemów nawadniania bez konieczności częstego przełączania węży.</p>	\N	\N	2026-04-29 18:02:41	120	f	rozdzielacz-do-wody-z-dwoma-zaworami-10	1419	\N	\N	\N	\N	\N
13	Umywalka Plenerowa 30L z Mydelniczką	13SR/0030	52.03	10	t	59.jpg	<p><b>Umywalka plenerowa 30L z dozownikiem na mydło</b></p>\r\n\r\n<p>&#10004;️ Produkt NOWY</p>\r\n\r\n<p>&#10004;️ Umywalka turystyczna w formie kanistra wyposażona w kranik z zaworem kulowym oraz dozownik na mydło w płynie z pompką</p>\r\n\r\n<p>&#10004;️ Dozownik mydła wielokrotnego napełniania</p>\r\n\r\n<p>&#10004;️ Wygodny uchwyt do przenoszenia</p>\r\n\r\n<p>&#10004;️ Doskonała do użytku na działce, w podróży, pod namiotem lub wszędzie tam, gdzie brak dostępu do bieżącej wody<br />\r\n </p>\r\n\r\n<p><strong>Właściwości:</strong></p>\r\n\r\n<p>Szerokość: 24cm</p>\r\n\r\n<p>Wysokość: 54cm</p>\r\n\r\n<p>Głębokość: 24cm</p>\r\n\r\n<p>Głębokość kanistra z kranem: 37cm</p>\r\n\r\n<p>Wysokość kanistra z mydelniczką: 58cm</p>\r\n\r\n<p>Średnica wlewu 43mm</p>\r\n\r\n<p>Materiał: Polietylen</p>	\N	\N	2026-04-29 18:02:41	80	f	umywalka-plenerowa-30l-z-mydelniczka-13	1422	\N	\N	\N	\N	\N
14	Umywalka Plenerowa 20L	14SR/0027	40.49	10	t	64.jpg	<p><b>Kanister na wodę z kranem 20L</b></p>\r\n\r\n<p>&#10004;️ Produkt NOWY</p>\r\n\r\n<p>&#10004;️ Kanister przeznaczony do przechowywania wody lub innych cieczy</p>\r\n\r\n<p>&#10004;️ Wyposażony w kranik z zaworem kulowym</p>\r\n\r\n<p>&#10004;️ Posiada uchwyt do łatwego przenoszenia</p>\r\n\r\n<p>&#10004;️Idealny do użytku na działce, w podróży czy pod namiotem<br />\r\n<br />\r\n </p>\r\n\r\n<p><strong>Właściwości:</strong></p>\r\n\r\n<p>Szerokość: 24cm</p>\r\n\r\n<p>Wysokość: 39cm</p>\r\n\r\n<p>Głębokość: 28cm</p>\r\n\r\n<p>Głębokość kanistra z kranem: 36cm</p>\r\n\r\n<p>Średnica wlewu 43mm</p>\r\n\r\n<p>Materiał: Polietylen</p>	\N	\N	2026-04-29 18:02:41	80	f	umywalka-plenerowa-20l-14	1423	\N	\N	\N	\N	\N
17	Umywalka plenerowa 10L z mydelniczką	20SR/0026	31.35	10	t	85.jpg	<p><b>Umywalka plenerowa 10L z dozownikiem na mydło</b></p>\r\n\r\n<p>&#10004;️ Produkt NOWY</p>\r\n\r\n<p>&#10004;️ Umywalka turystyczna w formie kanistra wyposażona w kranik z zaworem kulowym oraz dozownik na mydło w płynie z pompką</p>\r\n\r\n<p>&#10004;️ Dozownik mydła wielokrotnego napełniania</p>\r\n\r\n<p>&#10004;️ Wygodny uchwyt do przenoszenia</p>\r\n\r\n<p>&#10004;️ Doskonała do użytku na działce, w podróży, pod namiotem lub wszędzie tam, gdzie brak dostępu do bieżącej wody<br />\r\n<br />\r\n </p>\r\n\r\n<p>Właściwości:</p>\r\n\r\n<p>Szerokość: 19cm</p>\r\n\r\n<p>Wysokość z mydelniczką: 35cm</p>\r\n\r\n<p>Głębokość: 22cm</p>\r\n\r\n<p>Średnica wlewu: 43mm</p>\r\n\r\n<p>Głębokość kanistra z kranem: 31cm</p>\r\n\r\n<p>Materiał: Polietylen</p>	\N	\N	2026-04-29 18:02:41	80	f	umywalka-plenerowa-10l-z-mydelniczka-17	1429	\N	\N	\N	\N	\N
